,DATE,SEOUL,DAEJEON,BUSAN,KOREA
1044,2016-11-08,148,108,120,125.3333333
1045,2016-11-09,91,99,115,101.6666667
1046,2016-11-10,92,98,79,89.66666667
1047,2016-11-11,81,82,110,91
1048,2016-11-12,107,96,131,111.3333333
1049,2016-11-13,103,92,144,113
1050,2016-11-14,99,95,123,105.6666667
1051,2016-11-15,79,75,111,88.33333333
1052,2016-11-16,92,93,110,98.33333333
1053,2016-11-17,116,144,145,135
1054,2016-11-18,156,158,147,153.6666667
1055,2016-11-19,113,121,124,119.3333333
1056,2016-11-20,88,98,112,99.33333333
1057,2016-11-21,100,111,94,101.6666667
1058,2016-11-22,74,74,107,85
1059,2016-11-23,65,64,79,69.33333333
1060,2016-11-24,56,61,68,61.66666667
1061,2016-11-25,73,85,85,81
1062,2016-11-26,117,120,132,123
1063,2016-11-27,142,101,128,123.6666667
